trt,block,nrate_kgha,krate_kgha,trtname,wplot,splot,yield_kgha,dap
4,2,100,0,100+0,203,203-1,3263,130
4,2,100,0,100+0,203,203-1,3464,140
4,2,100,0,100+0,203,203-1,3557,150
1,2,0,0,0+0,201,201-2,4410,120
1,2,0,0,0+0,201,201-2,4791,130
1,2,0,0,0+0,201,201-2,4970,140
1,2,0,0,0+0,201,201-2,5038,150
2,2,0,30,0+30,202,202-2,4082,120
2,2,0,30,0+30,202,202-2,4442,130
2,2,0,30,0+30,202,202-2,4660,140
2,2,0,30,0+30,202,202-2,4761,150
3,2,0,60,0+60,203,203-2,5418,120
3,2,0,60,0+60,203,203-2,5835,130
3,2,0,60,0+60,203,203-2,6004,140
3,2,0,60,0+60,203,203-2,6059,150
7,2,200,0,200+0,201,201-3,5285,120
7,2,200,0,200+0,201,201-3,5681,130
7,2,200,0,200+0,201,201-3,5884,140
7,2,200,0,200+0,201,201-3,5921,150
9,2,200,60,200+60,202,202-3,2795,120
9,2,200,60,200+60,202,202-3,3165,130
9,2,200,60,200+60,202,202-3,3399,140
9,2,200,60,200+60,202,202-3,3410,150
8,2,200,30,200+30,203,203-3,5258,120
8,2,200,30,200+30,203,203-3,5660,130
8,2,200,30,200+30,203,203-3,5847,140
8,2,200,30,200+30,203,203-3,5925,150
1,3,0,0,0+0,301,301-1,5500,120
1,3,0,0,0+0,301,301-1,5917,130
1,3,0,0,0+0,301,301-1,6111,140
1,3,0,0,0+0,301,301-1,6170,150
2,3,0,30,0+30,302,302-1,4160,120
2,3,0,30,0+30,302,302-1,4533,130
2,3,0,30,0+30,302,302-1,4762,140
2,3,0,30,0+30,302,302-1,4781,150
3,3,0,60,0+60,303,303-1,4860,120
3,3,0,60,0+60,303,303-1,5274,130
3,3,0,60,0+60,303,303-1,5440,140
3,3,0,60,0+60,303,303-1,5485,150
6,3,100,60,100+60,301,301-2,5160,120
6,3,100,60,100+60,301,301-2,5562,130
6,3,100,60,100+60,301,301-2,5780,140
6,3,100,60,100+60,301,301-2,5810,150
4,3,100,0,100+0,302,302-2,5018,120
4,3,100,0,100+0,302,302-2,5418,130
4,3,100,0,100+0,302,302-2,5630,140
4,3,100,0,100+0,302,302-2,5690,150
5,3,100,30,100+30,303,303-2,4645,120
5,3,100,30,100+30,303,303-2,5043,130
5,3,100,30,100+30,303,303-2,5226,140
5,3,100,30,100+30,303,303-2,5267,150
8,3,200,30,200+30,301,301-3,4908,120
8,3,200,30,200+30,301,301-3,5327,130
8,3,200,30,200+30,301,301-3,5520,140
8,3,200,30,200+30,301,301-3,5540,150
7,3,200,0,200+0,302,302-3,4708,120
7,3,200,0,200+0,302,302-3,5102,130
7,3,200,0,200+0,302,302-3,5317,140
7,3,200,0,200+0,302,302-3,5363,150
9,3,200,60,200+60,303,303-3,4588,120
9,3,200,60,200+60,303,303-3,4986,130
9,3,200,60,200+60,303,303-3,5185,140
9,3,200,60,200+60,303,303-3,5227,150
1,4,0,0,0+0,401,401-1,5178,120
1,4,0,0,0+0,401,401-1,5589,130
1,4,0,0,0+0,401,401-1,5788,140
1,4,0,0,0+0,401,401-1,5825,150
2,4,0,30,0+30,402,402-1,4151,120
2,4,0,30,0+30,402,402-1,4551,130
2,4,0,30,0+30,402,402-1,4752,140
2,4,0,30,0+30,402,402-1,4818,150
3,4,0,60,0+60,403,403-1,6111,120
3,4,0,60,0+60,403,403-1,6534,130
3,4,0,60,0+60,403,403-1,6724,140
3,4,0,60,0+60,403,403-1,6780,150
4,4,100,0,100+0,401,401-2,3603,120
4,4,100,0,100+0,401,401-2,3977,130
4,4,100,0,100+0,401,401-2,4205,140
4,4,100,0,100+0,401,401-2,4240,150
5,4,100,30,100+30,402,402-2,5270,120
5,4,100,30,100+30,402,402-2,5673,130
5,4,100,30,100+30,402,402-2,5869,140
5,4,100,30,100+30,402,402-2,5915,150
6,4,100,60,100+60,403,403-2,5285,120
6,4,100,60,100+60,403,403-2,5689,130
6,4,100,60,100+60,403,403-2,5879,140
6,4,100,60,100+60,403,403-2,5958,150
7,4,200,0,200+0,401,401-3,4864,120
7,4,200,0,200+0,401,401-3,5265,130
7,4,200,0,200+0,401,401-3,5458,140
7,4,200,0,200+0,401,401-3,5521,150
8,4,200,30,200+30,402,402-3,4835,120
8,4,200,30,200+30,402,402-3,5225,130
8,4,200,30,200+30,402,402-3,5450,140
8,4,200,30,200+30,402,402-3,5461,150
9,4,200,60,200+60,403,403-3,3772,120
9,4,200,60,200+60,403,403-3,4146,130
9,4,200,60,200+60,403,403-3,4350,140
9,4,200,60,200+60,403,403-3,4434,150
